_id,numerocontrato,anocontrato,orgaocontratante,objetocontrato,origemcontrato,sequencialcompra,cnpjcontratado,cpfcontratado,razaonomecontratado,logradouroendcontratado,numeroendcontratado,complementoendcontratado,bairroendcontratado,cidadeendcontratado,estadoendcontratado,datainiciovigencia,datafimvigencia,valorcontrato1,valorcontrato2,situacaocontrato
15,2401.0270/2014,2014,CONTROLADORIA GERAL DO MUNICÍPIO,PRESTAÇÃO DE SERVIÇOS  ESPECIALIZADOS DE APOIO TÉCNICO ADMINISTRATIVO.,SARP,3293,1781573000162,,R P L ENGENHARIA E SERVICOS LTDA,RUA SAO CAETANO,359,CASA,CAMPO GRANDE,RECIFE,PE,2014-09-01T00:00:00,2015-08-31T00:00:00,21258.84,21258.84,CADASTRADO
16,6407.0002/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,LOCAÇÃO DE 02 MAQUINAS COPIADORAS,DISPENSA,1994,40904492000164,,SOLIVETTI COMERCIO SERVICOS LTDA,AVENIDA OLINDA DOM HELDER CAMARA,145,"",SANTA TEREZA,OLINDA,PE,2014-01-30T00:00:00,2015-03-30T00:00:00,13200.0,13200.0,CADASTRADO
17,6407.0004/2013,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,OBRAS E SERVIÇOS DE ENGENHARIA VISANDO A REFORMA DO PÁTIO DE FEIRA DE AFOGADOS,LICITAÇÃO,1241,7811641000175,,MARINHO CONSTRUCOES EIRELI,RUA FRANCISCO VITA,702,"",CORDEIRO,RECIFE,PE,2014-01-19T00:00:00,2014-06-18T00:00:00,541453.55,541453.55,CADASTRADO
18,6407.0010/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,CONTRATAÇÃO DE EMPRESA PARA CONSTRUÇÃO DO PÁTIO DE FEIRA DE ÁGUA FRIA (ADEQUAÇÃO DO GALPÃO).,LICITAÇÃO,2188,4506139000162,,CORINTHO ENGENHARIA LTDA,RUA ALBATROZ,181,"",AFOGADOS,RECIFE,PE,2014-04-23T00:00:00,2014-07-22T00:00:00,389867.66,389867.66,CADASTRADO
19,6407.0012/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,"CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA A EXECUÇÃO DOS SERVIÇOS TÉCNICOS ESPECIALIZADOS DE CONSULTORIA PARA APOIO TÉCNICO EM VISTORIAS, ESTUDOS TÉCNICOS, SUPERVISÃO E FISCALIZAÇÃO DE OBRAS DA CSURB.",LICITAÇÃO,3046,4532855000114,,RBF EMPREENDIMENTOS LTDA,RUA ARNALDO BASTOS,67,"",MADALENA,RECIFE,PE,2014-07-21T00:00:00,2015-05-20T00:00:00,144820.19,144820.19,CADASTRADO
20,6407.0013/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,OBRAS DE ENGENHARIA VISANDO A CONSTRUÇÃO DE BARRACAS EM MADEIRA NO CAIS DE SANTA RITA.,LICITAÇÃO,3044,12513837000113,,RECONSTRUCOES EIRELI,RUA ERNESTO DE PAULA SANTOS,960,SALA 102 CXP 243,BOA VIAGEM,RECIFE,PE,2014-07-21T00:00:00,2015-03-18T00:00:00,87318.98,87318.98,CADASTRADO
21,6407.0015/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,"OBRA DE ENGENHARIA VISANDO A INSTALAÇÃO (HIDRÁULICA, SANITÁRIA E ELÉTRICA) PARA QUIOSQUES METÁLICOS, ILUMINAÇÃO GERAL E CONSTRUÇÃO DE SANITÁRIOS NO PÁTIO DE FEIRA DE AFOGADOS.",LICITAÇÃO,3177,17156048000196,,TANDEN EMPREENDIMENTOS EIRELI EPP,RUA ITAPEJARA,9,"",VARZEA,RECIFE,PE,2014-08-18T00:00:00,2015-05-15T00:00:00,209787.76,209787.76,CADASTRADO
22,6407.0016/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,"SERVIÇO DE ENGENHARIA, VISANDO A CONSTRUÇÃO DE BOXES DO PÁTIO DE FEIRA NA ÁREA EXTERNA DO MERCADO DO JORDÃO",COMPRA DIRETA,3449,12513837000113,,RECONSTRUCOES EIRELI,RUA ERNESTO DE PAULA SANTOS,960,SALA 102 CXP 243,BOA VIAGEM,RECIFE,PE,2014-09-04T00:00:00,2015-05-02T00:00:00,23244.99,23244.99,CADASTRADO
23,6407.0017/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,"EXECUÇÃO DE SERVIÇOS DE ENGENHARIA, VISANDO A CONSTRUÇÃO DE APOIO HIDRÁULICO NO MERCADO PÚBLICO DA BOA VISTA.",COMPRA DIRETA,3444,7811641000175,,MARINHO CONSTRUCOES EIRELI,RUA FRANCISCO VITA,702,"",CORDEIRO,RECIFE,PE,2014-09-15T00:00:00,2015-04-03T00:00:00,22911.02,22911.02,CADASTRADO
24,6410.0014/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ASSESSORIA CONTÁBEIS, FISCAL E TRIBUTARIA, PARA O EXERCÍCIO DE 2014.",LICITAÇÃO,3018,10523926000115,,TECJUR LTDA - EPP,RUA CLAUDINO DOS SANTOS,255,CASA,AFOGADOS,RECIFE,PE,2014-07-23T00:00:00,2016-01-18T00:00:00,46800.0,46800.0,CADASTRADO
25,6410.0018/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,SERVIÇOS DE INTERMEDIAÇÃO DE ESTÁGIO DE NÍVEL MÉDIO E DE NÍVEL SUPERIOR.,SARP,3600,11000361000154,,INSTITUTO EUVALDO LODI NUCLEO REGIONAL DE PERNAMBUCO,AVENIDA CRUZ CABUGA,767,6º  ANDAR,SANTO AMARO,RECIFE,PE,2014-10-03T00:00:00,2016-03-30T00:00:00,58183.2,58183.2,CADASTRADO
26,6410.0019/2014,2014,CSURB - AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE,"MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS, SERVIÇOS PRESTADO POR PESSOA JURÍDICA REFERENTE À MANUTENÇÃO, SUPORTE E FORNECIMENTO DE BOBINA PARA RELÓGIO DE PONTO.",DISPENSA,3826,12854089000132,,ELETROPONTO COMÉRCIO E SERVIÇOS LTDA,"",,"","","","",2014-11-04T00:00:00,2016-05-01T00:00:00,1140.0,1140.0,CADASTRADO
27,5002.1004/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"SERVIÇOS DE RECUPERAÇÃO ESTRUTURAL DA PASSARELA SOBRE O RIO TEJIPIÓ, QUE SERVE DE ACESSO A COMUNIDADE DO SIRI, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,2612,9175317000133,,LITIO ENGENHARIA LTDA  EPP,RUA SILVEIRA LOBO,32,CAIXA POSTAL 239,POCO DA PANELA,RECIFE,PE,2014-09-15T00:00:00,2015-06-12T00:00:00,140000.0,140000.0,ENCERRADO
28,5002.1013/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"RECUPERAÇÃO DA FACHADA DA IGREJA E COBERTA DO VELÓRIO PRINCIPAL DO CEMITÉRIO DE SANTO AMARO, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,3694,10811370000162,,GUERRA CONSTRUCOES LTDA,RUA PROFESSOR SILVIO RABELO,550,"",CANDEIAS,JABOATAO DOS GUARARAPES,PE,2014-10-22T00:00:00,2015-06-19T00:00:00,146827.8,146827.8,ENCERRADO
29,5002.1015/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"CONSTRUÇÃO DE MURO NA RUA JORGE COUCEIRO DA COSTA EIRAS - COMUNIDADE ENTRA APULSO - BOA VIAGEM, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,3684,6262582000160,,CONSECOM - CONSTRUCOES SERVICOS E COMERCIO LTDA,ESDRAS FARIAS,,QD B LT 9A,IPSEP,RECIFE,PE,2014-11-10T00:00:00,2015-07-08T00:00:00,65861.26,65861.26,ENCERRADO
30,5002.4005/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,1764,12558114000130,,L CORDEIRO COMERCIO E SERVICOS DE MATERIAL DE CONSTRUCAO LTDA - ME,AVENIDA CAXANGA,2354,"",CORDEIRO,RECIFE,PE,2014-03-07T00:00:00,2014-06-05T00:00:00,155045.54,155045.54,ENCERRADO
31,5002.4032/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL  EPIS, CONFORME TERMO DE REFERÊNCIA ANEXO AO EDITAL.",LICITAÇÃO,2106,5215437000166,,MERCONSUMO LTDA,RUA MARECHAL DEODORO,93,1° ANDAR,ENCRUZILHADA,RECIFE,PE,2014-08-14T00:00:00,2015-03-12T00:00:00,11050.0,11050.0,ENCERRADO
32,5002.4037/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"AQUISIÇÃO DOS MATERIAIS ELÉTRICOS, HIDRO SANITÁRIOS, FERRAMENTAS DIVERSAS E PRODUTOS PARA CARPINTARIA EM GERAL, PARA ATENDER AS DEMANDAS DIÁRIAS DO SETOR DE SERVIÇOS GERAIS E GERENCIA DE NECRÓPOLES DA EMLURB INSERIDA NOS AUTOS.",SARP,3282,12558114000130,,L CORDEIRO COMERCIO E SERVICOS DE MATERIAL DE CONSTRUCAO LTDA - ME,AVENIDA CAXANGA,2354,"",CORDEIRO,RECIFE,PE,2014-08-28T00:00:00,2016-02-24T00:00:00,82352.4,82352.4,ENCERRADO
33,5002.4038/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,AQUISIÇÃO DE IMPRESSOS GRAFICOS,SARP,3582,8829277000133,,PERFILGRAFICA LTDA ME,RUA ALAMEDA DAS HORTENSIAS,48,"",IMBIRIBEIRA,RECIFE,PE,2014-09-18T00:00:00,2016-03-16T00:00:00,31938.0,31938.0,ENCERRADO
34,5002.4039/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,AQUISIÇÃO DE MATERIAIS GRÁFICOS PARA REPOSIÇÃO DE ESTOQUE DO ALMOXARIFADO ADMINISTRATIVO E PEÇAS.,SARP,3515,1496690000184,,PADRAO GRAFICA EDITORA LTDA ME,RUA CLARICE LISPECTOR,95,TERREO,TORROES,RECIFE,PE,2014-10-29T00:00:00,2016-04-26T00:00:00,2820.5,2820.5,ENCERRADO
35,5002.4040/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,AQUISIÇÃO DE CONDICIONADORES DE AR DOS TIPOS SPLIT E ACJ (AR CONDICIONADO JANELA).,SARP,2741,1438080000124,,EDNILSON PINHO DE MIRANDA,RUA FRANCISCO JACINTO,114,"",SANTO AMARO,RECIFE,PE,2014-09-05T00:00:00,2016-03-02T00:00:00,56185.67,56185.67,ENCERRADO
36,5002.4042/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"AQUISIÇÃO DE SOLUÇÃO DE REDE SEM FIO, INDOOR(WLAN) E OUTDOOR(WMAN), ENGLOBANDO EQUIPAMENTOS , SOFTWARE DE GERENCIAMENTO, INSTALAÇÃO, CONFIGURAÇÃO, TREINAMENTO E GARANTIA.",SARP,2461,9002672000100,,SMARTWAVE NETWORKS DO BRASIL LTDA,AVENIDA FAGUNDES FILHO,145,CONJ. 144,VILA MONTE ALEGRE,SAO PAULO,SP,2014-10-22T00:00:00,2018-04-19T00:00:00,48840.0,48840.0,ENCERRADO
37,5002.6021/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"SERVIÇOS DE RECUPERAÇÃO DE DRENAGEM DE PARTE DA AV. NORTE, EM FRENTE A ANTIGA FÁBRICA DA MACAXEIRA, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,2021,749205000174,,CONSTRUTORA INGAZEIRA LTDA,RUA ARNOBIO MARQUES,253,SALA 1305 EMP ENG JO,SANTO AMARO,RECIFE,PE,2014-04-01T00:00:00,2014-11-27T00:00:00,3398999.99,3398999.99,ENCERRADO
38,5002.6052/2013,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"SERVIÇOS DE ENGENHARIA CONSULTIVA PARA ELABORAÇÃO E IMPLANTAÇÃO DO PROGRAMA DE GERENCIAMENTO DE MANUTENÇÃO E CONSERV. DA REDE VIÁRIA DE RECIFE, CONF. TERMO DE REFERÊNCIA ANEXO AO EDITAL.",LICITAÇÃO,853,11019554000157,,PDCA ENGENHARIA PLANEJAMENTO DESENVOLVIMENTO CONSULTORIA E ASSESSORIA LTDA EPP,RUA GUIMARAES PEIXOTO,75,"SALAS 1601 , 1605",CASA AMARELA,RECIFE,PE,2014-02-04T00:00:00,2016-02-02T00:00:00,3440992.42,3440992.42,ENCERRADO
39,5010.1001/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"CONTRATAÇÃO DE SERVIÇOS NA TROCA DE POSTES DA PONTE JOAQUIM CARDOSO - COELHOS - RECIFE, CONFORME ESPECIFICAÇÕES CONTIDAS NO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,1435,41116138000138,,REAL ENERGY LTDA,RUA BEIRA CANAL,49,"",BULTRINS,OLINDA,PE,2014-05-26T00:00:00,2014-12-22T00:00:00,123814.63,123814.63,ENCERRADO
40,5010.1006/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"RECUPERAÇÃO DO MURO DE PROTEÇÃO DO CAIS DA RUA DA AURORA - BOA VISTA, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO ANEXO AO EDITAL.",LICITAÇÃO,3351,6157352000131,,ROBERTO & JAIR COMERCIO E SERVICOS LTDA - EPP,RUA MORENO,255,"",ARTHUR LUNDGREN I,PAULISTA,PE,2014-09-15T00:00:00,2015-05-13T00:00:00,46943.24,46943.24,ENCERRADO
41,5010.1007/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,RECUPERAÇÃO DE IMÓVEIS DA SEDE DA DLU - AV. RECIFE,LICITAÇÃO,3176,11523068000171,,CONSTRUTORA FAELLA EIRELI,RUA CALUMBI,94,"",AREIAS,RECIFE,PE,2014-09-25T00:00:00,2015-05-23T00:00:00,144220.51,144220.51,ENCERRADO
42,5010.1011/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"REFORMA DAS ADMINISTRAÇÕES E BANHEIROS DOS CEMITÉRIOS TEJIPIÓ, VÁRZEA E VESTIÁRIO DO PARQUE DAS FLORES, CONFORME PROJETO BÁSICO ANEXO.",LICITAÇÃO,3458,11523068000171,,CONSTRUTORA FAELLA EIRELI,RUA CALUMBI,94,"",AREIAS,RECIFE,PE,2014-10-22T00:00:00,2015-06-19T00:00:00,146970.29,146970.29,ENCERRADO
43,5010.4053/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"AQUISIÇÃO DE MATERIAIS ELÉTRICOS, CONFORME ESPECIFICAÇÕES DO TERMO DE REFERÊNCIA ANEXO AO EDITAL.",LICITAÇÃO,2746,20445537000172,,M. M. FONTES DE MENEZES MATERIAIS PARA CONSTRUCAO EIRELI - EPP,RUA DONA MARIA DE ANGELIS,91,"",AFOGADOS,RECIFE,PE,2014-10-22T00:00:00,2016-04-19T00:00:00,127477.5,127477.5,ENCERRADO
44,5010.5003/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"SERVIÇOS DE LOCAÇÃO DE CAMINHÃO PIPA PARA TRANSPORTE DE ÁGUA PARA USO DIVERSOS E LOCAÇÃO DE CAMINHÃO DE CARROCERIA DE MADEIRA, CONFORME ESPECIFICAÇÕES DO TERMO DE REFERÊNCIA ANEXO AO EDITAL",LICITAÇÃO,3085,11634427000168,,MF SERVICOS E LOCACAO DE VEICULOS EIRELI,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,1396,"",MADALENA,RECIFE,PE,2014-09-24T00:00:00,2016-03-22T00:00:00,104000.0,104000.0,ENCERRADO
45,5010.6008/2014,2014,EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA,"PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE PAISAGISMO E CONSERVAÇÃO DE PARQUES, PRAÇAS, JARDINS E ÁREAS VERDES DA CIDADE DO RECIFE, CONFORME PROJETO BÁSICO ANEXO AO EDITAL.LOTE 02 (RPA'S 04, 05 E 06)",LICITAÇÃO,1660,40884405000154,,LOQUIPE  LOCACAO DE EQUIPAMENTOS E MAO DE OBRA LTDA,RUA MAJOR QUINTEIRO,89,"",CORDEIRO,RECIFE,PE,2014-02-05T00:00:00,2015-04-06T00:00:00,5399896.08,5399896.08,ENCERRADO
